Conversation_Type,Sample_Size,Pearson_r,Pearson_p_value,Original_Mean_FD,Original_SD_FD,Subtree_Mean_FD,Subtree_SD_FD
Richly Branching,55,0.7447,0.0,1.3732,0.147,1.0565,0.2684
Poorly Branching,45,0.611,0.0,0.9364,0.2852,0.5811,0.2685
