post_id,conversation_type,total_comments,total_words,total_characters,avg_words_per_comment,median_words_per_comment,std_words_per_comment,min_words_per_comment,max_words_per_comment,avg_word_length_overall,max_depth_reached,comments_at_depth_0,comments_at_depth_1,comments_at_depth_2,comments_at_depth_3,comments_at_depth_4,avg_words_depth_0,avg_words_depth_1,avg_words_depth_2,avg_words_depth_3,avg_words_depth_4,depth_cap_applied,max_depth_analyzed
post58hb,richly branching,39,1582,8426,40.56,20.0,54.17,1,276,4.15,4,17,11,6,4,1,28.47,35.91,45.5,101.5,24.0,Yes,4
post59hb,richly branching,117,6174,34820,52.77,26.0,126.15,1,1301,4.46,4,31,32,25,19,10,86.68,39.03,40.12,42.05,43.6,Yes,4
post5hb,richly branching,951,29214,164863,30.72,17.0,39.92,0,525,4.63,4,304,183,156,156,152,20.12,32.67,33.01,37.35,40.41,Yes,4
post5lb,poorly branching,9,567,3349,63.0,42.0,64.05,10,214,4.6,4,3,2,1,2,1,36.33,26.5,10.0,164.0,67.0,Yes,4
post6hb,richly branching,79,7467,42480,94.52,62.0,95.26,1,470,4.81,4,12,20,23,16,8,147.42,74.95,89.26,85.0,98.25,Yes,4
post6lb,poorly branching,23,1080,6215,46.96,37.0,39.69,3,185,4.65,4,7,3,3,5,5,37.14,102.0,40.0,47.2,31.6,Yes,4
post7hb,richly branching,107,6364,37591,59.48,36.0,60.0,1,361,4.88,4,44,31,18,11,3,53.73,81.9,41.22,60.18,19.0,Yes,4
post7lb,poorly branching,3,71,407,23.67,19.0,18.26,4,48,4.3,2,1,1,1,0,0,19.0,48.0,4.0,0,0,Yes,4
post8hb,richly branching,230,5985,32510,26.02,18.0,23.64,1,151,4.38,4,126,59,24,14,7,28.02,20.98,27.25,27.93,24.43,Yes,4
post8lb,poorly branching,55,1699,9604,30.89,19.0,31.15,1,148,4.81,4,26,16,8,4,1,31.92,35.5,21.12,32.75,1.0,Yes,4
post9hb,richly branching,89,4933,27958,55.43,32.0,66.45,5,345,4.52,4,31,24,17,10,7,82.03,44.88,48.94,28.7,27.71,Yes,4
post9lb,poorly branching,13,1160,6765,89.23,49.0,97.42,6,369,4.61,4,6,3,2,1,1,128.83,44.33,64.0,6.0,120.0,Yes,4
